07/31 06:43:29 PM | Train: [ 1/200] Step 080/404 Loss 9.226 Prec@(1,5) (0.4%, 1.8%)
07/31 06:43:35 PM | Train: [ 1/200] Step 090/404 Loss 9.026 Prec@(1,5) (0.4%, 1.8%)
07/31 06:43:42 PM | Train: [ 1/200] Step 100/404 Loss 8.863 Prec@(1,5) (0.4%, 1.9%)
07/31 06:43:48 PM | Train: [ 1/200] Step 110/404 Loss 8.701 Prec@(1,5) (0.4%, 2.0%)
07/31 06:43:54 PM | Train: [ 1/200] Step 120/404 Loss 8.549 Prec@(1,5) (0.4%, 2.0%)
07/31 06:44:01 PM | Train: [ 1/200] Step 130/404 Loss 8.420 Prec@(1,5) (0.4%, 2.0%)
07/31 06:44:08 PM | Train: [ 1/200] Step 140/404 Loss 8.308 Prec@(1,5) (0.4%, 2.1%)
07/31 06:44:15 PM | Train: [ 1/200] Step 150/404 Loss 8.209 Prec@(1,5) (0.4%, 2.1%)
07/31 06:44:22 PM | Train: [ 1/200] Step 160/404 Loss 8.119 Prec@(1,5) (0.4%, 2.1%)
07/31 06:44:29 PM | Train: [ 1/200] Step 170/404 Loss 8.038 Prec@(1,5) (0.4%, 2.2%)
07/31 06:44:35 PM | Train: [ 1/200] Step 180/404 Loss 7.960 Prec@(1,5) (0.4%, 2.1%)
07/31 06:44:42 PM | Train: [ 1/200] Step 190/404 Loss 7.887 Prec@(1,5) (0.4%, 2.2%)
07/31 06:44:48 PM | Train: [ 1/200] Step 200/404 Loss 7.824 Prec@(1,5) (0.4%, 2.2%)
07/31 06:44:55 PM | Train: [ 1/200] Step 210/404 Loss 7.761 Prec@(1,5) (0.4%, 2.2%)
07/31 06:45:02 PM | Train: [ 1/200] Step 220/404 Loss 7.709 Prec@(1,5) (0.5%, 2.2%)
07/31 06:45:09 PM | Train: [ 1/200] Step 230/404 Loss 7.655 Prec@(1,5) (0.5%, 2.2%)
07/31 06:45:16 PM | Train: [ 1/200] Step 240/404 Loss 7.603 Prec@(1,5) (0.5%, 2.3%)
07/31 06:45:22 PM | Train: [ 1/200] Step 250/404 Loss 7.559 Prec@(1,5) (0.4%, 2.2%)
07/31 06:45:29 PM | Train: [ 1/200] Step 260/404 Loss 7.513 Prec@(1,5) (0.4%, 2.2%)
07/31 06:45:35 PM | Train: [ 1/200] Step 270/404 Loss 7.475 Prec@(1,5) (0.5%, 2.3%)
07/31 06:45:43 PM | Train: [ 1/200] Step 280/404 Loss 7.437 Prec@(1,5) (0.4%, 2.3%)
07/31 06:45:50 PM | Train: [ 1/200] Step 290/404 Loss 7.399 Prec@(1,5) (0.4%, 2.3%)
07/31 06:45:56 PM | Train: [ 1/200] Step 300/404 Loss 7.365 Prec@(1,5) (0.4%, 2.3%)
07/31 06:46:03 PM | Train: [ 1/200] Step 310/404 Loss 7.329 Prec@(1,5) (0.4%, 2.3%)
07/31 06:46:10 PM | Train: [ 1/200] Step 320/404 Loss 7.299 Prec@(1,5) (0.4%, 2.3%)
07/31 06:46:17 PM | Train: [ 1/200] Step 330/404 Loss 7.268 Prec@(1,5) (0.4%, 2.3%)
07/31 06:46:24 PM | Train: [ 1/200] Step 340/404 Loss 7.242 Prec@(1,5) (0.4%, 2.4%)
07/31 06:46:30 PM | Train: [ 1/200] Step 350/404 Loss 7.215 Prec@(1,5) (0.5%, 2.4%)
07/31 06:46:36 PM | Train: [ 1/200] Step 360/404 Loss 7.188 Prec@(1,5) (0.5%, 2.4%)
07/31 06:46:44 PM | Train: [ 1/200] Step 370/404 Loss 7.162 Prec@(1,5) (0.5%, 2.4%)
07/31 06:46:51 PM | Train: [ 1/200] Step 380/404 Loss 7.136 Prec@(1,5) (0.5%, 2.5%)
07/31 06:46:55 PM | Train: [ 1/200] Step 390/404 Loss 7.114 Prec@(1,5) (0.5%, 2.5%)
07/31 06:46:59 PM | Train: [ 1/200] Step 400/404 Loss 7.090 Prec@(1,5) (0.5%, 2.5%)
07/31 06:47:01 PM | Train: [ 1/200] Step 404/404 Loss 7.082 Prec@(1,5) (0.5%, 2.6%)
07/31 06:47:01 PM | Train: [ 1/200] Final Prec@1 0.4873%
07/31 06:48:16 PM | Valid: [ 1/200] Step 000/404 Loss 6.126 Prec@(1,5) (0.0%, 0.0%)
07/31 06:48:21 PM | Valid: [ 1/200] Step 010/404 Loss 5.880 Prec@(1,5) (0.0%, 8.0%)
07/31 06:48:26 PM | Valid: [ 1/200] Step 020/404 Loss 6.110 Prec@(1,5) (0.0%, 4.6%)
07/31 06:48:32 PM | Valid: [ 1/200] Step 030/404 Loss 6.072 Prec@(1,5) (0.0%, 3.9%)
07/31 06:48:39 PM | Valid: [ 1/200] Step 040/404 Loss 6.087 Prec@(1,5) (0.0%, 6.2%)
07/31 06:48:46 PM | Valid: [ 1/200] Step 050/404 Loss 6.098 Prec@(1,5) (0.0%, 5.2%)
07/31 06:48:51 PM | Valid: [ 1/200] Step 060/404 Loss 6.028 Prec@(1,5) (1.3%, 8.1%)
07/31 06:48:56 PM | Valid: [ 1/200] Step 070/404 Loss 6.020 Prec@(1,5) (1.1%, 7.1%)
07/31 06:49:01 PM | Valid: [ 1/200] Step 080/404 Loss 6.029 Prec@(1,5) (1.0%, 6.2%)
07/31 06:49:07 PM | Valid: [ 1/200] Step 090/404 Loss 6.027 Prec@(1,5) (0.9%, 6.1%)
07/31 06:49:12 PM | Valid: [ 1/200] Step 100/404 Loss 6.036 Prec@(1,5) (0.8%, 5.6%)
07/31 06:49:18 PM | Valid: [ 1/200] Step 110/404 Loss 6.036 Prec@(1,5) (0.7%, 5.5%)
07/31 06:49:24 PM | Valid: [ 1/200] Step 120/404 Loss 6.072 Prec@(1,5) (0.6%, 5.0%)
07/31 06:49:30 PM | Valid: [ 1/200] Step 130/404 Loss 6.071 Prec@(1,5) (0.6%, 5.7%)
07/31 06:49:35 PM | Valid: [ 1/200] Step 140/404 Loss 6.091 Prec@(1,5) (0.6%, 5.3%)
07/31 06:49:40 PM | Valid: [ 1/200] Step 150/404 Loss 6.082 Prec@(1,5) (0.6%, 5.6%)
07/31 06:49:47 PM | Valid: [ 1/200] Step 160/404 Loss 6.091 Prec@(1,5) (0.5%, 5.3%)
07/31 06:49:52 PM | Valid: [ 1/200] Step 170/404 Loss 6.093 Prec@(1,5) (0.5%, 5.0%)
07/31 06:49:57 PM | Valid: [ 1/200] Step 180/404 Loss 6.070 Prec@(1,5) (0.5%, 5.9%)
07/31 06:50:03 PM | Valid: [ 1/200] Step 190/404 Loss 6.064 Prec@(1,5) (0.7%, 6.0%)
07/31 06:50:08 PM | Valid: [ 1/200] Step 200/404 Loss 6.059 Prec@(1,5) (0.7%, 5.7%)
07/31 06:50:16 PM | Valid: [ 1/200] Step 210/404 Loss 6.060 Prec@(1,5) (0.7%, 5.7%)
07/31 06:50:21 PM | Valid: [ 1/200] Step 220/404 Loss 6.053 Prec@(1,5) (0.7%, 5.5%)
07/31 06:50:26 PM | Valid: [ 1/200] Step 230/404 Loss 6.053 Prec@(1,5) (0.7%, 5.3%)
07/31 06:50:32 PM | Valid: [ 1/200] Step 240/404 Loss 6.046 Prec@(1,5) (0.6%, 5.3%)
07/31 06:50:38 PM | Valid: [ 1/200] Step 250/404 Loss 6.038 Prec@(1,5) (0.8%, 5.6%)
07/31 06:50:44 PM | Valid: [ 1/200] Step 260/404 Loss 6.049 Prec@(1,5) (0.8%, 5.4%)
07/31 06:50:49 PM | Valid: [ 1/200] Step 270/404 Loss 6.056 Prec@(1,5) (0.7%, 5.2%)
07/31 06:50:54 PM | Valid: [ 1/200] Step 280/404 Loss 6.054 Prec@(1,5) (1.0%, 5.5%)
07/31 06:50:59 PM | Valid: [ 1/200] Step 290/404 Loss 6.047 Prec@(1,5) (1.0%, 5.4%)
07/31 06:51:04 PM | Valid: [ 1/200] Step 300/404 Loss 6.040 Prec@(1,5) (1.1%, 5.6%)
07/31 06:51:09 PM | Valid: [ 1/200] Step 310/404 Loss 6.045 Prec@(1,5) (1.0%, 5.4%)
07/31 06:51:15 PM | Valid: [ 1/200] Step 320/404 Loss 6.043 Prec@(1,5) (1.0%, 5.6%)
07/31 06:51:20 PM | Valid: [ 1/200] Step 330/404 Loss 6.043 Prec@(1,5) (1.0%, 5.4%)
07/31 06:51:25 PM | Valid: [ 1/200] Step 340/404 Loss 6.043 Prec@(1,5) (0.9%, 5.3%)
07/31 06:51:30 PM | Valid: [ 1/200] Step 350/404 Loss 6.041 Prec@(1,5) (0.9%, 5.6%)
07/31 06:51:36 PM | Valid: [ 1/200] Step 360/404 Loss 6.034 Prec@(1,5) (1.1%, 5.8%)
07/31 06:51:41 PM | Valid: [ 1/200] Step 370/404 Loss 6.033 Prec@(1,5) (1.1%, 5.8%)
07/31 06:51:46 PM | Valid: [ 1/200] Step 380/404 Loss 6.041 Prec@(1,5) (1.1%, 5.7%)
07/31 06:51:49 PM | Valid: [ 1/200] Step 390/404 Loss 6.040 Prec@(1,5) (1.3%, 5.9%)
07/31 06:51:53 PM | Valid: [ 1/200] Step 400/404 Loss 6.044 Prec@(1,5) (1.2%, 5.7%)
07/31 06:51:55 PM | Final best Prec@1 = 1.2222%
07/31 06:53:07 PM | Train: [ 2/200] Step 010/404 Loss 6.094 Prec@(1,5) (1.9%, 6.9%)
07/31 06:53:13 PM | Train: [ 2/200] Step 020/404 Loss 6.139 Prec@(1,5) (1.7%, 5.9%)
07/31 06:53:20 PM | Train: [ 2/200] Step 030/404 Loss 6.118 Prec@(1,5) (1.8%, 5.6%)
07/31 06:53:26 PM | Train: [ 2/200] Step 040/404 Loss 6.119 Prec@(1,5) (1.5%, 5.1%)
07/31 06:53:33 PM | Train: [ 2/200] Step 050/404 Loss 6.129 Prec@(1,5) (1.6%, 5.2%)
07/31 06:53:40 PM | Train: [ 2/200] Step 060/404 Loss 6.110 Prec@(1,5) (1.5%, 5.2%)
07/31 06:53:46 PM | Train: [ 2/200] Step 070/404 Loss 6.105 Prec@(1,5) (1.4%, 5.0%)
07/31 06:53:52 PM | Train: [ 2/200] Step 080/404 Loss 6.088 Prec@(1,5) (1.4%, 5.2%)
07/31 06:53:59 PM | Train: [ 2/200] Step 090/404 Loss 6.073 Prec@(1,5) (1.4%, 5.4%)
07/31 06:54:06 PM | Train: [ 2/200] Step 100/404 Loss 6.057 Prec@(1,5) (1.5%, 5.6%)
07/31 06:54:12 PM | Train: [ 2/200] Step 110/404 Loss 6.063 Prec@(1,5) (1.5%, 5.5%)
07/31 06:54:19 PM | Train: [ 2/200] Step 120/404 Loss 6.049 Prec@(1,5) (1.4%, 5.6%)
07/31 06:54:26 PM | Train: [ 2/200] Step 130/404 Loss 6.050 Prec@(1,5) (1.4%, 5.6%)
07/31 06:54:32 PM | Train: [ 2/200] Step 140/404 Loss 6.046 Prec@(1,5) (1.3%, 5.5%)
07/31 06:54:39 PM | Train: [ 2/200] Step 150/404 Loss 6.037 Prec@(1,5) (1.4%, 5.6%)
07/31 06:54:45 PM | Train: [ 2/200] Step 160/404 Loss 6.026 Prec@(1,5) (1.3%, 5.7%)
07/31 06:54:52 PM | Train: [ 2/200] Step 170/404 Loss 6.022 Prec@(1,5) (1.4%, 5.8%)
07/31 06:54:58 PM | Train: [ 2/200] Step 180/404 Loss 6.013 Prec@(1,5) (1.4%, 5.9%)
07/31 06:55:06 PM | Train: [ 2/200] Step 190/404 Loss 6.005 Prec@(1,5) (1.4%, 6.1%)
07/31 06:55:11 PM | Train: [ 2/200] Step 200/404 Loss 6.001 Prec@(1,5) (1.4%, 6.0%)
07/31 06:55:18 PM | Train: [ 2/200] Step 210/404 Loss 5.993 Prec@(1,5) (1.4%, 6.1%)
07/31 06:55:24 PM | Train: [ 2/200] Step 220/404 Loss 5.992 Prec@(1,5) (1.3%, 6.0%)
07/31 06:55:30 PM | Train: [ 2/200] Step 230/404 Loss 5.988 Prec@(1,5) (1.3%, 6.0%)
07/31 06:55:36 PM | Train: [ 2/200] Step 240/404 Loss 5.982 Prec@(1,5) (1.4%, 6.0%)
07/31 06:55:42 PM | Train: [ 2/200] Step 250/404 Loss 5.973 Prec@(1,5) (1.4%, 6.1%)
07/31 06:55:49 PM | Train: [ 2/200] Step 260/404 Loss 5.963 Prec@(1,5) (1.4%, 6.2%)
07/31 06:55:55 PM | Train: [ 2/200] Step 270/404 Loss 5.955 Prec@(1,5) (1.4%, 6.2%)
07/31 06:56:01 PM | Train: [ 2/200] Step 280/404 Loss 5.949 Prec@(1,5) (1.4%, 6.3%)
07/31 06:56:07 PM | Train: [ 2/200] Step 290/404 Loss 5.942 Prec@(1,5) (1.5%, 6.3%)
07/31 06:56:13 PM | Train: [ 2/200] Step 300/404 Loss 5.929 Prec@(1,5) (1.5%, 6.4%)
07/31 06:56:19 PM | Train: [ 2/200] Step 310/404 Loss 5.922 Prec@(1,5) (1.5%, 6.5%)
07/31 06:56:25 PM | Train: [ 2/200] Step 320/404 Loss 5.912 Prec@(1,5) (1.5%, 6.6%)
07/31 06:56:32 PM | Train: [ 2/200] Step 330/404 Loss 5.903 Prec@(1,5) (1.5%, 6.7%)
07/31 06:56:38 PM | Train: [ 2/200] Step 340/404 Loss 5.893 Prec@(1,5) (1.6%, 6.9%)
07/31 06:56:45 PM | Train: [ 2/200] Step 350/404 Loss 5.882 Prec@(1,5) (1.6%, 6.9%)
07/31 06:56:51 PM | Train: [ 2/200] Step 360/404 Loss 5.875 Prec@(1,5) (1.6%, 7.0%)
07/31 06:56:57 PM | Train: [ 2/200] Step 370/404 Loss 5.868 Prec@(1,5) (1.7%, 7.0%)
07/31 06:57:04 PM | Train: [ 2/200] Step 380/404 Loss 5.861 Prec@(1,5) (1.7%, 7.1%)
07/31 06:57:10 PM | Train: [ 2/200] Step 390/404 Loss 5.853 Prec@(1,5) (1.6%, 7.1%)
07/31 06:57:14 PM | Train: [ 2/200] Step 400/404 Loss 5.844 Prec@(1,5) (1.7%, 7.2%)
07/31 06:57:15 PM | Train: [ 2/200] Step 404/404 Loss 5.841 Prec@(1,5) (1.7%, 7.3%)
07/31 06:57:17 PM | Train: [ 2/200] Final Prec@1 1.6863%
07/31 06:58:21 PM | Valid: [ 2/200] Step 000/404 Loss 6.172 Prec@(1,5) (0.0%, 0.0%)
07/31 06:58:26 PM | Valid: [ 2/200] Step 010/404 Loss 5.124 Prec@(1,5) (5.7%, 16.8%)
07/31 06:58:32 PM | Valid: [ 2/200] Step 020/404 Loss 5.388 Prec@(1,5) (3.0%, 10.3%)
07/31 06:58:37 PM | Valid: [ 2/200] Step 030/404 Loss 5.333 Prec@(1,5) (2.1%, 10.4%)
07/31 06:58:42 PM | Valid: [ 2/200] Step 040/404 Loss 5.274 Prec@(1,5) (1.6%, 10.9%)
07/31 06:58:47 PM | Valid: [ 2/200] Step 050/404 Loss 5.289 Prec@(1,5) (2.5%, 11.1%)
07/31 06:58:51 PM | Valid: [ 2/200] Step 060/404 Loss 5.117 Prec@(1,5) (4.1%, 15.2%)
07/31 06:58:57 PM | Valid: [ 2/200] Step 070/404 Loss 5.103 Prec@(1,5) (4.0%, 15.2%)
07/31 06:59:02 PM | Valid: [ 2/200] Step 080/404 Loss 5.109 Prec@(1,5) (3.5%, 14.2%)
07/31 06:59:07 PM | Valid: [ 2/200] Step 090/404 Loss 5.137 Prec@(1,5) (3.2%, 13.2%)
07/31 06:59:12 PM | Valid: [ 2/200] Step 100/404 Loss 5.152 Prec@(1,5) (3.5%, 13.1%)
07/31 06:59:17 PM | Valid: [ 2/200] Step 110/404 Loss 5.095 Prec@(1,5) (4.3%, 14.6%)
07/31 06:59:22 PM | Valid: [ 2/200] Step 120/404 Loss 5.124 Prec@(1,5) (4.0%, 13.9%)
07/31 06:59:27 PM | Valid: [ 2/200] Step 130/404 Loss 5.120 Prec@(1,5) (4.7%, 15.1%)
07/31 06:59:32 PM | Valid: [ 2/200] Step 140/404 Loss 5.160 Prec@(1,5) (4.3%, 14.6%)
07/31 06:59:38 PM | Valid: [ 2/200] Step 150/404 Loss 5.133 Prec@(1,5) (5.3%, 16.3%)
07/31 06:59:43 PM | Valid: [ 2/200] Step 160/404 Loss 5.130 Prec@(1,5) (5.2%, 16.0%)
07/31 06:59:48 PM | Valid: [ 2/200] Step 170/404 Loss 5.109 Prec@(1,5) (5.5%, 16.5%)
07/31 06:59:53 PM | Valid: [ 2/200] Step 180/404 Loss 5.088 Prec@(1,5) (6.2%, 17.1%)
07/31 06:59:58 PM | Valid: [ 2/200] Step 190/404 Loss 5.089 Prec@(1,5) (5.9%, 16.3%)
07/31 07:00:03 PM | Valid: [ 2/200] Step 200/404 Loss 5.072 Prec@(1,5) (5.7%, 16.9%)
07/31 07:00:08 PM | Valid: [ 2/200] Step 210/404 Loss 5.080 Prec@(1,5) (5.4%, 16.5%)
07/31 07:00:13 PM | Valid: [ 2/200] Step 220/404 Loss 5.057 Prec@(1,5) (6.0%, 17.3%)
07/31 07:00:22 PM | Valid: [ 2/200] Step 230/404 Loss 5.056 Prec@(1,5) (5.9%, 17.2%)
07/31 07:00:28 PM | Valid: [ 2/200] Step 240/404 Loss 5.059 Prec@(1,5) (5.8%, 16.9%)
07/31 07:00:34 PM | Valid: [ 2/200] Step 250/404 Loss 5.068 Prec@(1,5) (5.6%, 16.6%)
07/31 07:00:39 PM | Valid: [ 2/200] Step 260/404 Loss 5.071 Prec@(1,5) (5.5%, 16.6%)
07/31 07:00:44 PM | Valid: [ 2/200] Step 270/404 Loss 5.076 Prec@(1,5) (5.4%, 16.4%)
07/31 07:00:50 PM | Valid: [ 2/200] Step 280/404 Loss 5.076 Prec@(1,5) (5.4%, 16.8%)
07/31 07:00:55 PM | Valid: [ 2/200] Step 290/404 Loss 5.067 Prec@(1,5) (5.2%, 17.1%)
07/31 07:01:01 PM | Valid: [ 2/200] Step 300/404 Loss 5.082 Prec@(1,5) (5.1%, 16.6%)
07/31 07:01:06 PM | Valid: [ 2/200] Step 310/404 Loss 5.070 Prec@(1,5) (5.5%, 17.2%)
07/31 07:01:11 PM | Valid: [ 2/200] Step 320/404 Loss 5.076 Prec@(1,5) (5.4%, 16.8%)
07/31 07:01:15 PM | Valid: [ 2/200] Step 330/404 Loss 5.087 Prec@(1,5) (5.2%, 16.4%)
07/31 07:01:19 PM | Valid: [ 2/200] Step 340/404 Loss 5.086 Prec@(1,5) (5.2%, 16.4%)
07/31 07:01:22 PM | Valid: [ 2/200] Step 350/404 Loss 5.074 Prec@(1,5) (5.2%, 16.8%)
07/31 07:01:25 PM | Valid: [ 2/200] Step 360/404 Loss 5.073 Prec@(1,5) (5.4%, 16.8%)
07/31 07:01:29 PM | Valid: [ 2/200] Step 370/404 Loss 5.068 Prec@(1,5) (5.5%, 17.0%)
07/31 07:01:32 PM | Valid: [ 2/200] Step 380/404 Loss 5.074 Prec@(1,5) (5.4%, 16.9%)
07/31 07:03:07 PM | Logger is set 
07/31 07:03:07 PM | Logger without distribution
07/31 07:03:36 PM | Initializing dataset used 29.514071464538574 basic time unit
07/31 07:03:36 PM | The training classes labels length :  751
07/31 07:04:47 PM | batch loading time example is 71.06909847259521
07/31 07:06:15 PM | Train: [ 1/200] Step 010/404 Loss 8.565 Prec@(1,5) (0.6%, 0.9%)
07/31 07:06:22 PM | Train: [ 1/200] Step 020/404 Loss 9.526 Prec@(1,5) (0.3%, 1.1%)
07/31 07:06:29 PM | Train: [ 1/200] Step 030/404 Loss 10.035 Prec@(1,5) (0.2%, 1.0%)
07/31 07:06:36 PM | Train: [ 1/200] Step 040/404 Loss 10.069 Prec@(1,5) (0.2%, 1.2%)
07/31 07:06:43 PM | Train: [ 1/200] Step 050/404 Loss 9.963 Prec@(1,5) (0.1%, 1.2%)
07/31 07:06:51 PM | Train: [ 1/200] Step 060/404 Loss 9.842 Prec@(1,5) (0.1%, 1.2%)
07/31 07:06:58 PM | Train: [ 1/200] Step 070/404 Loss 9.607 Prec@(1,5) (0.2%, 1.5%)
07/31 07:07:05 PM | Train: [ 1/200] Step 080/404 Loss 9.372 Prec@(1,5) (0.4%, 1.7%)
07/31 07:07:12 PM | Train: [ 1/200] Step 090/404 Loss 9.133 Prec@(1,5) (0.3%, 1.7%)
07/31 07:07:19 PM | Train: [ 1/200] Step 100/404 Loss 8.933 Prec@(1,5) (0.3%, 1.8%)
07/31 07:07:27 PM | Train: [ 1/200] Step 110/404 Loss 8.758 Prec@(1,5) (0.4%, 1.8%)
07/31 07:07:34 PM | Train: [ 1/200] Step 120/404 Loss 8.596 Prec@(1,5) (0.4%, 1.9%)
07/31 07:07:40 PM | Train: [ 1/200] Step 130/404 Loss 8.445 Prec@(1,5) (0.4%, 1.9%)
07/31 07:07:48 PM | Train: [ 1/200] Step 140/404 Loss 8.316 Prec@(1,5) (0.5%, 2.0%)
07/31 07:07:56 PM | Train: [ 1/200] Step 150/404 Loss 8.206 Prec@(1,5) (0.5%, 2.0%)
07/31 07:08:03 PM | Train: [ 1/200] Step 160/404 Loss 8.113 Prec@(1,5) (0.5%, 2.1%)
07/31 07:08:09 PM | Train: [ 1/200] Step 170/404 Loss 8.023 Prec@(1,5) (0.6%, 2.1%)
07/31 07:08:16 PM | Train: [ 1/200] Step 180/404 Loss 7.936 Prec@(1,5) (0.5%, 2.2%)
07/31 07:08:23 PM | Train: [ 1/200] Step 190/404 Loss 7.864 Prec@(1,5) (0.5%, 2.2%)
07/31 07:08:30 PM | Train: [ 1/200] Step 200/404 Loss 7.796 Prec@(1,5) (0.5%, 2.2%)
