07/31 11:21:48 PM | Logger is set 
08/01 11:13:29 AM | Train: [ 1/200] Step 020/380 Loss 42.881 Prec@(1,5) (0.2%, 1.2%)
08/01 11:13:36 AM | Train: [ 1/200] Step 030/380 Loss 43.879 Prec@(1,5) (0.1%, 1.2%)
08/01 11:13:43 AM | Train: [ 1/200] Step 040/380 Loss 44.525 Prec@(1,5) (0.3%, 1.8%)
08/01 11:13:50 AM | Train: [ 1/200] Step 050/380 Loss 44.827 Prec@(1,5) (0.3%, 1.7%)
08/01 11:13:58 AM | Train: [ 1/200] Step 060/380 Loss 44.837 Prec@(1,5) (0.4%, 1.7%)
08/01 11:14:05 AM | Train: [ 1/200] Step 070/380 Loss 44.585 Prec@(1,5) (0.4%, 2.0%)
08/01 11:14:13 AM | Train: [ 1/200] Step 080/380 Loss 44.102 Prec@(1,5) (0.6%, 2.3%)
08/01 11:14:21 AM | Train: [ 1/200] Step 090/380 Loss 43.632 Prec@(1,5) (0.6%, 2.5%)
08/01 11:14:27 AM | Train: [ 1/200] Step 100/380 Loss 43.161 Prec@(1,5) (0.7%, 2.9%)
08/01 11:14:36 AM | Train: [ 1/200] Step 110/380 Loss 42.760 Prec@(1,5) (0.7%, 3.2%)
08/01 11:14:43 AM | Train: [ 1/200] Step 120/380 Loss 42.388 Prec@(1,5) (0.8%, 3.5%)
08/01 11:14:49 AM | Train: [ 1/200] Step 130/380 Loss 42.031 Prec@(1,5) (0.9%, 3.7%)
08/01 11:14:57 AM | Train: [ 1/200] Step 140/380 Loss 41.712 Prec@(1,5) (1.0%, 4.2%)
08/01 11:15:05 AM | Train: [ 1/200] Step 150/380 Loss 41.413 Prec@(1,5) (1.2%, 4.6%)
08/01 11:15:13 AM | Train: [ 1/200] Step 160/380 Loss 41.150 Prec@(1,5) (1.2%, 4.9%)
08/01 11:15:19 AM | Train: [ 1/200] Step 170/380 Loss 40.893 Prec@(1,5) (1.4%, 5.2%)
08/01 11:15:27 AM | Train: [ 1/200] Step 180/380 Loss 40.661 Prec@(1,5) (1.5%, 5.7%)
08/01 11:15:34 AM | Train: [ 1/200] Step 190/380 Loss 40.460 Prec@(1,5) (1.6%, 5.9%)
08/01 11:15:43 AM | Train: [ 1/200] Step 200/380 Loss 40.252 Prec@(1,5) (1.6%, 6.1%)
08/01 11:15:51 AM | Train: [ 1/200] Step 210/380 Loss 40.069 Prec@(1,5) (1.7%, 6.2%)
08/01 11:15:59 AM | Train: [ 1/200] Step 220/380 Loss 39.893 Prec@(1,5) (1.8%, 6.4%)
08/01 11:16:08 AM | Train: [ 1/200] Step 230/380 Loss 39.712 Prec@(1,5) (1.8%, 6.7%)
08/01 11:16:16 AM | Train: [ 1/200] Step 240/380 Loss 39.536 Prec@(1,5) (1.9%, 7.0%)
08/01 11:16:24 AM | Train: [ 1/200] Step 250/380 Loss 39.393 Prec@(1,5) (2.1%, 7.2%)
08/01 11:16:30 AM | Train: [ 1/200] Step 260/380 Loss 39.235 Prec@(1,5) (2.1%, 7.5%)
08/01 11:16:37 AM | Train: [ 1/200] Step 270/380 Loss 39.067 Prec@(1,5) (2.2%, 7.8%)
08/01 11:16:45 AM | Train: [ 1/200] Step 280/380 Loss 38.925 Prec@(1,5) (2.2%, 8.1%)
08/01 11:16:52 AM | Train: [ 1/200] Step 290/380 Loss 38.797 Prec@(1,5) (2.3%, 8.3%)
08/01 11:16:58 AM | Train: [ 1/200] Step 300/380 Loss 38.664 Prec@(1,5) (2.3%, 8.5%)
08/01 11:17:05 AM | Train: [ 1/200] Step 310/380 Loss 38.531 Prec@(1,5) (2.4%, 8.8%)
08/01 11:17:13 AM | Train: [ 1/200] Step 320/380 Loss 38.401 Prec@(1,5) (2.5%, 9.1%)
08/01 11:17:22 AM | Train: [ 1/200] Step 330/380 Loss 38.283 Prec@(1,5) (2.6%, 9.3%)
08/01 11:17:30 AM | Train: [ 1/200] Step 340/380 Loss 38.154 Prec@(1,5) (2.7%, 9.6%)
08/01 11:17:37 AM | Train: [ 1/200] Step 350/380 Loss 38.043 Prec@(1,5) (2.8%, 9.8%)
08/01 11:17:46 AM | Train: [ 1/200] Step 360/380 Loss 37.941 Prec@(1,5) (2.8%, 9.9%)
08/01 11:17:53 AM | Train: [ 1/200] Step 370/380 Loss 37.833 Prec@(1,5) (2.9%, 10.2%)
08/01 11:18:00 AM | Train: [ 1/200] Step 380/380 Loss 37.740 Prec@(1,5) (3.0%, 10.4%)
08/01 11:18:01 AM | Train: [ 1/200] Final Prec@1 2.9852%
08/01 11:39:58 AM | Logger is set 
08/01 11:39:58 AM | Logger without distribution
08/01 11:40:58 AM | Initializing dataset used 59.53260326385498 basic time unit
08/01 11:40:58 AM | The training classes labels length :  751
08/01 11:42:46 AM | batch loading time example is 107.96036219596863
08/01 11:45:39 AM | Train: [ 1/200] Step 010/380 Loss 42.109 Prec@(1,5) (0.0%, 0.6%)
08/01 11:45:48 AM | Train: [ 1/200] Step 020/380 Loss 42.893 Prec@(1,5) (0.3%, 0.8%)
08/01 11:45:58 AM | Train: [ 1/200] Step 030/380 Loss 44.013 Prec@(1,5) (0.3%, 1.0%)
08/01 11:46:06 AM | Train: [ 1/200] Step 040/380 Loss 44.494 Prec@(1,5) (0.5%, 1.6%)
08/01 11:46:15 AM | Train: [ 1/200] Step 050/380 Loss 44.741 Prec@(1,5) (0.4%, 1.7%)
08/01 11:46:25 AM | Train: [ 1/200] Step 060/380 Loss 44.825 Prec@(1,5) (0.4%, 1.9%)
08/01 11:46:38 AM | Train: [ 1/200] Step 070/380 Loss 44.657 Prec@(1,5) (0.4%, 2.1%)
08/01 11:46:49 AM | Train: [ 1/200] Step 080/380 Loss 44.360 Prec@(1,5) (0.5%, 2.5%)
08/01 11:46:59 AM | Train: [ 1/200] Step 090/380 Loss 43.990 Prec@(1,5) (0.6%, 2.6%)
08/01 11:47:10 AM | Train: [ 1/200] Step 100/380 Loss 43.492 Prec@(1,5) (0.7%, 2.8%)
08/01 11:47:20 AM | Train: [ 1/200] Step 110/380 Loss 43.088 Prec@(1,5) (0.7%, 2.9%)
08/01 11:47:28 AM | Train: [ 1/200] Step 120/380 Loss 42.721 Prec@(1,5) (0.7%, 3.0%)
08/01 11:47:37 AM | Train: [ 1/200] Step 130/380 Loss 42.360 Prec@(1,5) (0.7%, 3.2%)
08/01 11:47:45 AM | Train: [ 1/200] Step 140/380 Loss 42.056 Prec@(1,5) (0.7%, 3.4%)
08/01 11:47:52 AM | Train: [ 1/200] Step 150/380 Loss 41.767 Prec@(1,5) (0.9%, 3.8%)
08/01 11:48:00 AM | Train: [ 1/200] Step 160/380 Loss 41.507 Prec@(1,5) (1.0%, 3.9%)
08/01 11:48:07 AM | Train: [ 1/200] Step 170/380 Loss 41.265 Prec@(1,5) (1.0%, 4.1%)
08/01 11:48:15 AM | Train: [ 1/200] Step 180/380 Loss 41.048 Prec@(1,5) (1.1%, 4.3%)
08/01 11:48:24 AM | Train: [ 1/200] Step 190/380 Loss 40.861 Prec@(1,5) (1.1%, 4.4%)
08/01 11:48:31 AM | Train: [ 1/200] Step 200/380 Loss 40.664 Prec@(1,5) (1.1%, 4.7%)
